solar,hum,rain,press,temp,count
4.2,72.03,0.0,985.0,6.975,3.7790511727078893
3.161,74.85,0.0,985.0,7.018,3.8456539398862715
3.159,75.42,0.0,985.0,7.345,3.7621109607577807
3.02,76.63,0.0,985.0,7.55,3.720923986032769
2.836,78.67,0.0,985.0,7.787,3.7317800054185857
2.697,77.66,0.0,984.0,8.34,3.7572316842389837
3.037,77.31,0.0,984.0,8.44,3.8436147186147185
2.803,77.58,0.0,983.0,8.51,3.7831941826016697
2.616,78.9,0.0,984.0,8.82,3.753564702717245
2.517,79.13,0.0,983.0,8.84,3.804891304347826
2.783,84.2,0.0,983.0,8.58,3.8520032706459526
2.661,93.1,0.2,984.0,8.13,3.828179618176929
1.927,85.6,0.0,985.0,8.42,3.74487594390507
2.077,79.14,0.0,985.0,8.53,3.8211688661459737
2.52,77.38,0.0,986.0,8.55,3.741138560687433
3.044,76.9,0.0,987.0,8.47,3.820492024871587
2.763,84.2,0.0,988.0,8.29,3.7650109170305677
12.8,87.6,0.0,988.0,8.15,3.8400432315590383
20.0,82.1,0.0,988.0,8.31,12.0
38.71,83.2,0.0,988.0,8.34,3.768315761016491
32.99,81.4,0.0,987.0,8.52,3.7673854447439354
7.953,96.6,0.2,985.0,7.721,3.732003235373416
11.95,98.4,0.0,983.0,8.1,3.7924016282225237
8.81,97.1,0.0,981.0,8.5,3.7772640739733476
2.712,94.8,0.0,981.0,7.768,3.788747633216121
2.505,90.6,0.0,981.0,8.13,3.7346663064036747
2.903,87.1,0.0,982.0,8.38,3.772776572668113
2.922,85.5,0.0,982.0,8.39,3.8207778079956487
2.916,82.6,0.0,982.0,8.47,3.7823497563616675
3.026,85.8,0.0,982.0,8.37,3.811479869423286
2.589,88.6,0.0,982.0,8.12,3.719426406926407
3.041,94.3,0.0,983.0,7.529,3.8020125101985314
2.649,88.6,0.0,983.0,7.963,3.668985817500669
2.689,86.1,0.0,983.0,8.12,3.732539252842447
2.58,88.2,0.0,984.0,8.25,3.7547220723151646
3.002,88.6,0.0,984.0,8.03,3.7716450216450217
2.722,92.9,0.0,985.0,7.59,3.7282814614343707
3.143,95.3,0.0,987.0,6.495,3.7709239130434784
3.425,94.7,0.0,988.0,5.87,3.7203230148048454
4.473,90.2,0.0,993.0,6.325,3.684883088635128
24.48,89.1,0.0,995.0,6.046,3.710912052117264
87.7,87.7,0.0,997.0,6.64,3.71568894952251
154.3,83.7,0.0,998.0,7.192,3.6787648970747564
177.3,81.2,0.0,1000.0,7.488,3.6177262931034484
183.8,74.09,0.0,1001.0,7.83,3.730496453900709
124.3,68.8,0.0,1002.0,7.488,3.6769021739130436
48.36,74.87,0.0,1003.0,6.815,3.644311702416508
5.955,79.93,0.0,1005.0,6.15,3.695227765726681
3.894,76.41,0.0,1006.0,6.434,3.630616088243207
1.593,75.64,0.0,1007.0,6.055,3.663606911447084
2.819,75.33,0.0,1008.0,6.378,3.673045822102426
2.369,82.2,0.0,1008.0,6.497,3.677199673113593
3.648,88.1,0.0,1009.0,6.018,3.678011885467315
2.991,91.7,0.0,1009.0,5.424,3.589861751152074
3.672,92.9,0.0,1010.0,4.936,3.5936995153473346
2.17,94.7,0.0,1011.0,5.49,3.5859544468546636
3.393,92.1,0.0,1011.0,5.618,3.63781877373847
2.066,95.2,0.0,1012.0,6.161,3.6094722598105546
3.488,92.7,0.0,1012.0,6.141,3.626047014320454
2.344,95.1,0.0,1013.0,6.371,3.6791734638390428
3.512,92.6,0.0,1013.0,5.676,3.5968219768381364
2.996,94.0,0.0,1013.0,5.856,3.5638671347556037
2.578,91.7,0.0,1014.0,6.136,3.623141389564747
4.251,92.6,0.0,1014.0,5.845,3.63550135501355
40.1,97.2,0.0,1015.0,5.079,3.580026990553306
44.57,94.6,0.0,1016.0,5.637,3.592572512876118
73.99,96.7,0.0,1016.0,5.761,3.523462783171521
nan,nan,nan,nan,nan,3.538336052202284
nan,nan,nan,nan,nan,3.607074829931973
188.1,81.4,0.0,1005.0,5.076,3.3060722100656457
74.14,77.2,0.0,1005.0,5.111,3.3002702702702704
65.9,80.4,0.0,1004.0,5.082,3.178045515394913
50.48,81.4,0.0,1004.0,5.215,3.189637305699482
49.19,81.8,0.0,1004.0,5.391,3.252103120759837
7.888,83.2,0.0,1004.0,4.579,3.191545574636724
2.967,84.9,0.0,1004.0,4.334,3.2237017310252996
2.323,88.3,0.0,1003.0,4.366,3.264433551198257
2.661,90.3,0.0,1003.0,4.703,3.296862210095498
2.504,89.2,0.0,1003.0,5.011,3.343595382078065
3.365,86.6,0.0,1003.0,5.401,0.0
3.094,89.3,0.0,1003.0,4.987,3.306758620689655
2.144,92.3,0.0,1003.0,5.663,3.297312122874383
3.687,89.7,0.0,1003.0,5.771,3.3345195729537367
3.254,86.9,0.0,1003.0,5.913,3.29064039408867
2.573,86.3,0.0,1003.0,5.185,3.3367960634226352
1.532,88.1,0.0,1003.0,5.145,3.3343357025697102
3.129,89.8,0.0,1003.0,5.007,3.311111111111111
2.156,86.7,0.0,1003.0,6.274,3.305834464043419
4.487,87.2,0.0,1003.0,6.142,3.299011532125206
2.34,92.2,0.0,1003.0,4.95,3.284184514003295
3.943,85.1,0.0,1003.0,5.777,3.2945036915504513
59.19,83.9,0.0,1004.0,6.255,3.2332690718810246
130.3,78.27,0.0,1004.0,6.96,3.2994784518254185
110.9,70.91,0.0,1004.0,7.857,3.3036548502335807
130.0,69.76,0.0,1003.0,7.761,3.3039538714991763
102.3,71.01,0.0,1003.0,7.446,3.2912434806478177
73.94,73.95,0.0,1003.0,7.348,3.288808664259928
28.28,73.75,0.0,1004.0,6.787,3.3070391673514106
6.677,80.1,0.0,1004.0,5.461,3.299258037922506
2.821,82.6,0.0,1004.0,5.086,3.2797029702970297
